,method,CCN SEARCH,n,Method_type ,method_tool
183,Analysis of Variance (ANOVA),Networks,1,Anova,
187,Analysis of variance (ANOVA),Connectivity,1,Anova,
1800,analysis of variance (ANOVA),Networks,1,Anova,
184,Analysis of Variance (ANOVA) tests,Corridors,1,Anova,
152,ANOVA test,Networks,1,Anova,
1827,one-way ANOVA,Networks,1,ANOVA,
1842,Bayesian framework,Networks,1,Bayesian analysis,
1853, R (rjags software),Networks,1,Bayesian analysis,R
331,Bayesian belief network,Connectivity,1,Bayesian belief network,
332,Bayesian belief network,Networks,1,Bayesian belief network,
333,Bayesian belief network analysis,Networks,1,Bayesian belief network,
334,Bayesian belief networks (BBNs),Networks,1,Bayesian belief network,
335,Bayesian network (BN) analysis,Networks,1,Bayesian belief network,
71,Bayesian networks (BN) analysis,Networks,2,Bayesian belief network,
336,Bayesian networks (BNs),Networks,1,Bayesian belief network,
1029,Marxan and  Bayesian belief networks for scenario analyses,Connectivity,1,Bayesian belief network,
34,Netica software,Networks,4,Bayesian belief network,
1153,Netica software 6.04,Connectivity,1,Bayesian belief network,
1154,Netica software 6.04,Networks,1,Bayesian belief network,
1314,R (BBNet package),Networks,1,Bayesian belief network,
1850, R (SIBER package),Networks,1,Bivariate Elipse,
383,Centrality analysis,Connectivity,1,Centrality analysis,
384,Centrality analysis,Corridors,1,Centrality analysis,
385,Centrality analysis,Networks,1,Centrality analysis,
380,Centrality Mapper Toolbox,Connectivity,1,Centrality analysis,
381,Centrality Mapper Toolbox,Corridors,1,Centrality analysis,
382,Centrality Mapper Toolbox,Networks,1,Centrality analysis,
392,CircuistScape v4.0.3,Corridors,1,circuit theory,
395,Circuit theory analyis,Connectivity,1,circuit theory,
396,Circuit theory analyis,Corridors,1,circuit theory,
7,Circuit theory analysis,Corridors,14,circuit theory,
14,Circuit theory analysis,Connectivity,8,circuit theory,
26,Circuit theory analysis,Networks,5,circuit theory,
393,Circuit Theory Analysis,Corridors,1,circuit theory,
394,Circuit Theory analysis,Corridors,1,circuit theory,
397,Circuit theory approach,Corridors,1,circuit theory,
10,Circuitscape,Corridors,9,circuit theory,circuitscape
21,Circuitscape,Connectivity,6,circuit theory,circuitscape
366,CIRCUITSCAPE,Connectivity,1,circuit theory,
367,CIRCUITSCAPE,Corridors,1,circuit theory,
399,Circuitscape,Networks,1,circuit theory,
400,Circuitscape  v4.0.5,Connectivity,1,circuit theory,
41,Circuitscape 4.0,Corridors,3,circuit theory,
404,Circuitscape 5.0,Connectivity,1,circuit theory,
405,Circuitscape 5.0,Corridors,1,circuit theory,
406,Circuitscape v. 4.0.5 (Circuit theory analysis),Corridors,1,circuit theory,
407,Circuitscape v. 5.0,Corridors,1,circuit theory,
398,Circuit-based centrality metric,Connectivity,1,"circuit theory, centrality",
401,Circuitscape (Centrality Mapper),Corridors,1,"circuit theory, centrality",
403,Circuitscape (pairwise mode),Corridors,1,"circuit theory, pairwise",
